"Nombre","Estilo","Gravedad_Original","Gravedad_Final","Grado_Alcoholico","Amargor","Color"
"Blank (Robust Porter)","Robust Porter",1.085,1.023,8.08,77.9,43.28
"#19 ?wi?teczne","Baltic Porter",1.079,1.021,7.72,33.96,28.71
"Chocolate Maple Porter","Brown Porter",1.044,1.012,4.23,36.54,40
"White House Honey Porter","Brown Porter",1.055,1.013,5.45,28.47,23.65
"Nightmare on Brett Clone-ish","Baltic Porter",1.076,1.008,9.02,12.6,28.8
"Edinburgh Porter","Brown Porter",1.05,1.014,4.65,28.65,24.25
"Goat Scrotum Porter","Robust Porter",1.061,1.018,5.69,33.18,29.9
"Pictures of Feces","Robust Porter",1.073,1.023,6.6,28.41,48.79
"1776 english porter","Brown Porter",1.079,1.02,7.77,78.26,34.09
"Smoke Stone smoked vanilla porter 2014","Baltic Porter",1.07,1.017,6.86,26.14,28.43
"Chocolate Porter (Full boil)","Baltic Porter",1.073,1.018,7.65,44.54,36.24
"#41 Imperial Porter","Baltic Porter",24.0462,5.4155,10.49,60.05,35.79
"Thunder Cloud Porter","Brown Porter",1.046,1.015,4.03,24.42,26.63
"English Porter","Robust Porter",1.063,1.019,5.66,30.8,32.83
"Blackstrap Porter","Brown Porter",1.052,1.013,5.07,0,37.38
"Jamil's Chocolate Hazelnut Porter","Brown Porter",1.074,1.023,6.7,35.46,40
"Mama Black's Porter","Robust Porter",1.057,1.011,6,54.87,23.94
"Mocha porter","Robust Porter",1.061,1.018,5.6,34.3,37.97
"Smuttynose Robust Porter Clone","Robust Porter",1.065,1.016,6.44,35.88,36.35
"4.5L Ginger Porter","Robust Porter",1.061,1.02,5.3,33.85,27.57
"Smoked Porter","Robust Porter",1.094,1.024,9.09,62.77,40
"Coffee Porter","American Porter",1.061,1.02,5.32,49.13,38.12
"Bombastic Portastic","Baltic Porter",1.08,1.019,8.06,59.79,40
"Bounty Hunter","Brown Porter",1.06,1.012,6.3,11.49,24.93
"Smoked Vanilla Porter","Robust Porter",1.07,1.021,6.45,43.34,40
"Bourbon vanilla porter","Robust Porter",1.075,1.019,7.4,42.48,31.12
"Dry Dock Vanilla Porter","Baltic Porter",1.055,1.015,5.23,28.84,32.56
"Pascal Porter","Robust Porter",1.065,1.017,6.29,45.54,29.22
"Yuen Porter Clone","Baltic Porter",1.044,1.012,4.15,30,4.24
"Porter","English Porter",1.037,1.01,3.58,9.61,21.7
"Jeff Jones's Cherry Porter Recipe","Robust Porter",1.06,1.015,5.94,0,31.89
"Porter","Brown Porter",1.042,1.01,4.27,44.32,21.95
"English Chocolate Porter","English Porter",1.052,1.014,5.04,16.19,25.33
"The Virgin Porter","Robust Porter",1.063,1.017,6.05,41.74,40
"Holiday Porter","Robust Porter",1.057,1.013,5.78,34.58,27.13
"Old English Export Porter","Baltic Porter",1.074,1.021,6.9,39.5,40
"Death by Coconut (Clone)","American Porter",1.07,1.015,7.24,34.77,42.08
"Robust Porter","Robust Porter",1.06,1.014,6.15,47.43,40
"Mudd Butt","Brown Porter",1.069,1.019,6.54,27.01,37.71
"Java Porter","Robust Porter",1.05,1.013,4.85,0,0
"Bakke Brygg Robust Porter 25 L","Robust Porter",1.06,1.015,5.93,36.24,34.82
"Cabin Fever Porter","Robust Porter",1.061,1.02,5.33,50.42,33.41
"Porter Moon","Brown Porter",1.053,1.013,5.24,27.24,23.51
"Chocholate Peanut Butter Porter","Robust Porter",1.058,1.013,5.9,29.37,28.53
"Vanilla Caramel Porter","Robust Porter",1.059,1.015,5.75,24.97,31.91
"British Porter ca.1750-1850","Robust Porter",1.062,1.016,5.99,62.16,29.86
"Founders Porter Clone","Robust Porter",1.06,1.013,6.18,53.34,39.79
"Challenge Baltic Porter","Baltic Porter",1.086,1.029,7.37,39.64,29.49
"Maen med ljåen (Juleøl)","Brown Porter",1.052,1.013,5.05,31.51,28.85
"April Porter","American Porter",1.057,1.014,5.76,40.18,30.49
"Morning Luau","Robust Porter",1.081,1.019,8.15,28.38,40
"Porter 2.","Brown Porter",1.056,1.014,5.53,24.3,28.64
"Vanilla Porter","Robust Porter",1.063,1.018,5.94,0,33.73
"Sierra Nevada Porter clone","Robust Porter",13.7898,3.44073,5.57,31.01,27.51
"Girl Stout Thin Mint","American Porter",1.075,1.021,7.14,28.23,50
"Nattdykk - HoP Porter","Robust Porter",1.065,1.018,6.11,37.26,37.39
"Denny Conn's Bourbon Vanilla Porter","Robust Porter",1.064,1.015,6.48,53.35,32.21
"Black Magic Porter","Robust Porter",1.049,1.011,5.06,38.84,29.79
"Taddy Porter","Brown Porter",1.046,1.013,4.28,37.12,24.51
"#3 Vanilla Java Robust Porter (flint water p...","Robust Porter",1.062,1.02,5.53,36.18,33.97
"Pook's Porter","Baltic Porter",1.065,1.019,6.01,53.66,40
"Anchor Porter Clone","American Porter",1.055,1.015,5.25,38.99,36.2
"Who s Ya Daddy  Hopped Chocolate  Porter II...","Robust Porter",1.06,1.017,5.69,42.81,22.27
