"Nombre","Estilo","Gravedad_Original","Gravedad_Final","Grado_Alcoholico","Amargor","Color"
"Bakke Brygg Imperial Stout 20 L","Stout",1.098,1.025,9.67,69.25,50
"Nutella Stout","Stout",1.054,1.015,5.11,31.84,35.08
"Bill's Double Chocolate Milk Stout","Stout",1.066,1.021,5.87,37.61,41.27
"Dry Irish Stout: Guinness Clone","Stout",1.044,1.01,4.39,38.47,31.4
"Speedway Stout Clone","Stout",1.124,1.024,13.24,69.09,40
"Hunahpu (clone)","Stout",1.13,1.036,12.35,114.57,40
"Nothing Fancy Milk Chocolate Stout","Stout",1.06,1.022,4.99,24.51,39.5
"Yeti Imperial Stout (Great Divide Clone)","Stout",1.09,1.019,9.26,88.9,50
"Chocolate Orange Stout","Stout",1.096,1.027,9.18,35.95,29.92
"Irish Death Clone","Stout",1.105,1.026,10.3,59.26,40
"Imperial Stout","Stout",1.09,1.021,8.95,83.29,39.77
"Guinness Extra Stout Clone","Stout",1.045,1.012,4.3,53.28,40
"Dark Heart Root Beer","Stout",1.101,1.025,9.9,60.65,40
"Imperial Gingerbread Stout","Stout",1.101,1.024,10.17,82.34,40
"Banana Chocolate Milk Stout","Stout",1.065,1.02,5.9,0,2.82
"Double Chocolate Stout - Young Clone","Stout",1.069,1.025,5.85,28.78,41.87
"Coffee Blackout Stout","Stout",1.098,1.024,9.61,86.79,40
"Dark Lord clone","Stout",1.136,1.031,13.69,79.54,50
"Old Rasputin Clone","Stout",1.09,1.021,8.99,93.05,32.93
"Nutella Stout","Stout",1.089,1.025,8.46,16.28,40
"Imperial Biscotti Break Clone","Stout",1.108,1.024,11.14,88.99,50
"Steroid Stout","Stout",1.142,1.03,14.61,84.06,50
"Russian Imperial Stout","Stout",1.097,1.024,9.58,98.84,50
"HellaNutella Imperial Milk Stout","Stout",1.089,1.021,8.98,61.1,40
"Milk Stout - Espresso Coffee","Stout",1.06,1.015,5.86,32.75,40
"Left Hand Milk Stout Clone","Stout",1.054,1.013,5.31,22.34,38.61
"BOURBON VANILLA IMPERIAL PORTER","Stout",1.093,1.023,9.11,43.36,40
"Century  Russian Imperial Stout (new)","Stout",1.169,1.025,18.81,160.74,40
"Imperial stout","Stout",1.084,1.015,9.07,59.5,49.67
"Extra Chocolate Stout_24.12.11","Stout",1.072,1.021,6.66,35.41,40
"Oatmeal Raisin Cookie Stout","Stout",1.089,1.025,8.33,58.15,40
"Guinness Clone","Stout",1.046,1.011,4.7,41.97,42.11
"Nutella Imperial Milk Stout","Stout",1.092,1.019,9.55,27.12,40
"Chai Stout","Stout",1.061,1.014,6.13,29.16,37.22
"Chocolate Milk Stout","Stout",1.074,1.024,6.58,46.09,42.11
"(2015-01-23) Steel Cut Imperial Stout","Stout",25.5972,4.59445,11.86,103.34,50
"Chocolate Milk Stout (Patio 1812)","Stout",1.061,1.018,5.6,32.35,28.58
"Time Warp Tongue Tickler","Stout",1.114,1.029,11.08,198.51,40
"Chocolate Cherry Imperial Stout","Stout",1.116,1.031,11.1,136.03,31.03
