Date/Time,Unit,Value,a
25-07-2016 19:23,C,28,132
25-07-2016 20:23,C,26,133
25-07-2016 21:23,C,24,633
25-07-2016 22:23,C,24,133
25-07-2016 23:23,C,24,133
26-07-2016 0:23,C,23,133
26-07-2016 1:23,C,23,133
26-07-2016 2:23,C,22,632
26-07-2016 3:23,C,22,132
26-07-2016 4:23,C,22,132
26-07-2016 5:23,C,21,632
26-07-2016 6:23,C,21,632
26-07-2016 7:23,C,18,128
26-07-2016 8:23,C,16,125
26-07-2016 9:23,C,17,127
26-07-2016 10:23,C,19,63
26-07-2016 11:23,C,32,626
26-07-2016 12:23,C,34,623
26-07-2016 13:23,C,35,122
26-07-2016 14:23,C,38,114
26-07-2016 15:23,C,61,989
26-07-2016 16:23,C,40,607
26-07-2016 17:23,C,36,618
26-07-2016 18:23,C,28,132
26-07-2016 19:23,C,23,633
26-07-2016 20:23,C,19,13
26-07-2016 21:23,C,16,125
26-07-2016 22:23,C,14,121
26-07-2016 23:23,C,13,119
27-07-2016 0:23,C,12,117
27-07-2016 1:23,C,11,615
27-07-2016 2:23,C,11,114
27-07-2016 3:23,C,10,612
27-07-2016 4:23,C,10,111
27-07-2016 5:23,C,9,108
27-07-2016 6:23,C,8,606
27-07-2016 7:23,C,10,111
27-07-2016 8:23,C,14,121
27-07-2016 9:23,C,22,132
27-07-2016 10:23,C,23,133
27-07-2016 11:23,C,27,632
27-07-2016 12:23,C,69,425
27-07-2016 13:23,C,74,871
27-07-2016 14:23,C,42,6
27-07-2016 15:23,C,59,11
27-07-2016 16:23,C,41,604
27-07-2016 17:23,C,38,114
27-07-2016 18:23,C,28,631
27-07-2016 19:23,C,24,633
27-07-2016 20:23,C,19,63
27-07-2016 21:23,C,16,626
27-07-2016 22:23,C,14,622
27-07-2016 23:23,C,13,62
28-07-2016 0:23,C,13,119
28-07-2016 1:23,C,12,117
28-07-2016 2:23,C,12,117
28-07-2016 3:23,C,11,615
28-07-2016 4:23,C,11,615
28-07-2016 5:23,C,11,114
28-07-2016 6:23,C,11,615
28-07-2016 7:23,C,12,618
28-07-2016 8:23,C,17,127
28-07-2016 9:23,C,23,133
28-07-2016 10:23,C,25,133
28-07-2016 11:23,C,30,629
28-07-2016 12:23,C,71,406
28-07-2016 13:23,C,72,892
28-07-2016 14:23,C,44,94
28-07-2016 15:23,C,56,31
28-07-2016 16:23,C,42,102
28-07-2016 17:23,C,42,6
28-07-2016 18:23,C,29,63
28-07-2016 19:23,C,25,633
28-07-2016 20:23,C,21,132
28-07-2016 21:23,C,18,629
28-07-2016 22:23,C,16,626
28-07-2016 23:23,C,15,624
29-07-2016 0:23,C,15,123
29-07-2016 1:23,C,14,121
29-07-2016 2:23,C,14,121
29-07-2016 3:23,C,13,62
29-07-2016 4:23,C,13,62
29-07-2016 5:23,C,13,62
29-07-2016 6:23,C,13,62
29-07-2016 7:23,C,14,622
29-07-2016 8:23,C,18,128
29-07-2016 9:23,C,23,133
29-07-2016 10:23,C,25,133
29-07-2016 11:23,C,30,629
29-07-2016 12:23,C,39,112
29-07-2016 13:23,C,38,613
29-07-2016 14:23,C,33,126
29-07-2016 15:23,C,27,632
29-07-2016 16:23,C,25,633
29-07-2016 17:23,C,25,133
29-07-2016 18:23,C,25,133
29-07-2016 19:23,C,25,133
29-07-2016 20:23,C,25,133
29-07-2016 21:23,C,25,133
29-07-2016 22:23,C,24,633
29-07-2016 23:23,C,24,133
30-07-2016 0:23,C,24,133
30-07-2016 1:23,C,24,133
30-07-2016 2:23,C,23,633
30-07-2016 3:23,C,23,633
30-07-2016 4:23,C,23,133
30-07-2016 5:23,C,23,133
30-07-2016 6:23,C,23,133
30-07-2016 7:23,C,22,632
30-07-2016 8:23,C,22,632
30-07-2016 9:23,C,22,132
30-07-2016 10:23,C,22,132
30-07-2016 11:23,C,22,132
30-07-2016 12:23,C,22,132
30-07-2016 13:23,C,22,132
30-07-2016 14:23,C,22,632
30-07-2016 15:23,C,22,632
30-07-2016 16:23,C,23,133
30-07-2016 17:23,C,23,633
30-07-2016 18:23,C,23,633
30-07-2016 19:23,C,24,133
30-07-2016 20:23,C,24,133
30-07-2016 21:23,C,24,133
30-07-2016 22:23,C,23,633
30-07-2016 23:23,C,23,633
31-07-2016 0:23,C,23,633
31-07-2016 1:23,C,23,633
31-07-2016 2:23,C,23,633
31-07-2016 3:23,C,23,133
31-07-2016 4:23,C,23,133
31-07-2016 5:23,C,22,632
31-07-2016 6:23,C,22,632
31-07-2016 7:23,C,22,132
31-07-2016 8:23,C,21,632
