Date/Time,Unit,Value,a
31-05-2016 7:23,C,25,662
31-05-2016 8:23,C,20,159
31-05-2016 9:23,C,21,661
31-05-2016 10:23,C,23,162
31-05-2016 11:23,C,25,662
31-05-2016 12:23,C,32,653
31-05-2016 13:23,C,36,143
31-05-2016 14:23,C,63,937
31-05-2016 15:23,C,63,937
31-05-2016 16:23,C,56,515
31-05-2016 17:23,C,51,557
31-05-2016 18:23,C,41,123
31-05-2016 19:23,C,27,661
31-05-2016 20:23,C,18,657
31-05-2016 21:23,C,15,65
31-05-2016 22:23,C,14,146
31-05-2016 23:23,C,13,644
01-06-2016 0:23,C,11,637
01-06-2016 1:23,C,11,135
01-06-2016 2:23,C,10,131
01-06-2016 3:23,C,9,629
01-06-2016 4:23,C,8,624
01-06-2016 5:23,C,7,619
01-06-2016 6:23,C,8,122
01-06-2016 7:23,C,8,624
01-06-2016 8:23,C,10,633
01-06-2016 9:23,C,19,658
01-06-2016 10:23,C,40,626
01-06-2016 11:23,C,53,45
01-06-2016 12:23,C,59,98
01-06-2016 13:23,C,61,465
01-06-2016 14:23,C,59,486
01-06-2016 15:23,C,58,
01-06-2016 16:23,C,54,533
01-06-2016 17:23,C,48,83
01-06-2016 18:23,C,38,634
01-06-2016 19:23,C,28,161
01-06-2016 20:23,C,16,151
01-06-2016 21:23,C,12,641
01-06-2016 22:23,C,11,637
01-06-2016 23:23,C,11,637
02-06-2016 0:23,C,10,633
02-06-2016 1:23,C,9,629
02-06-2016 2:23,C,9,127
02-06-2016 3:23,C,9,127
02-06-2016 4:23,C,9,127
02-06-2016 5:23,C,6,112
02-06-2016 6:23,C,6,614
02-06-2016 7:23,C,7,117
02-06-2016 8:23,C,12,139
02-06-2016 9:23,C,19,158
02-06-2016 10:23,C,34,648
02-06-2016 11:23,C,57,1
02-06-2016 12:23,C,56,19
02-06-2016 13:23,C,62,948
02-06-2016 14:23,C,62,454
02-06-2016 15:23,C,60,97
02-06-2016 16:23,C,58,496
02-06-2016 17:23,C,50,69
02-06-2016 18:23,C,42,616
02-06-2016 19:23,C,31,156
02-06-2016 20:23,C,17,154
02-06-2016 21:23,C,14,146
02-06-2016 22:23,C,13,644
02-06-2016 23:23,C,12,139
03-06-2016 0:23,C,10,131
03-06-2016 1:23,C,9,629
03-06-2016 2:23,C,8,624
03-06-2016 3:23,C,7,117
03-06-2016 4:23,C,6,614
03-06-2016 5:23,C,5,609
03-06-2016 6:23,C,6,112
03-06-2016 7:23,C,7,117
03-06-2016 8:23,C,9,127
03-06-2016 9:23,C,18,156
03-06-2016 10:23,C,24,162
03-06-2016 11:23,C,21,661
03-06-2016 12:23,C,19,158
03-06-2016 13:23,C,24,162
03-06-2016 14:23,C,24,662
03-06-2016 15:23,C,24,662
03-06-2016 16:23,C,25,162
03-06-2016 17:23,C,25,662
03-06-2016 18:23,C,25,662
03-06-2016 19:23,C,26,662
03-06-2016 20:23,C,27,661
03-06-2016 21:23,C,28,161
03-06-2016 22:23,C,28,66
03-06-2016 23:23,C,28,161
04-06-2016 0:23,C,27,661
04-06-2016 1:23,C,27,161
04-06-2016 2:23,C,26,162
04-06-2016 3:23,C,25,162
04-06-2016 4:23,C,24,662
04-06-2016 5:23,C,23,662
04-06-2016 6:23,C,22,661
04-06-2016 7:23,C,22,161
04-06-2016 8:23,C,21,661
04-06-2016 9:23,C,21,16
04-06-2016 10:23,C,21,16
04-06-2016 11:23,C,21,661
04-06-2016 12:23,C,22,661
04-06-2016 13:23,C,23,662
04-06-2016 14:23,C,25,162
04-06-2016 15:23,C,25,162
04-06-2016 16:23,C,25,162
04-06-2016 17:23,C,25,162
04-06-2016 18:23,C,24,662
04-06-2016 19:23,C,25,162
04-06-2016 20:23,C,26,662
04-06-2016 21:23,C,26,162
04-06-2016 22:23,C,26,162
04-06-2016 23:23,C,26,162
05-06-2016 0:23,C,25,662
05-06-2016 1:23,C,25,662
05-06-2016 2:23,C,25,162
05-06-2016 3:23,C,24,662
05-06-2016 4:23,C,24,162
05-06-2016 5:23,C,23,662
05-06-2016 6:23,C,23,662
05-06-2016 7:23,C,23,162
05-06-2016 8:23,C,22,661
05-06-2016 9:23,C,22,661
05-06-2016 10:23,C,22,661
05-06-2016 11:23,C,23,162
05-06-2016 12:23,C,24,162
05-06-2016 13:23,C,25,662
05-06-2016 14:23,C,27,161
05-06-2016 15:23,C,27,661
05-06-2016 16:23,C,27,161
05-06-2016 17:23,C,26,662
05-06-2016 18:23,C,26,162
05-06-2016 19:23,C,26,662
05-06-2016 20:23,C,27,161
05-06-2016 21:23,C,27,161
05-06-2016 22:23,C,27,161
05-06-2016 23:23,C,26,662
06-06-2016 0:23,C,25,662
06-06-2016 1:23,C,25,162
06-06-2016 2:23,C,24,662
06-06-2016 3:23,C,24,162
06-06-2016 4:23,C,23,162
06-06-2016 5:23,C,22,661
06-06-2016 6:23,C,22,161
06-06-2016 7:23,C,22,161
06-06-2016 8:23,C,22,161
06-06-2016 9:23,C,22,161
06-06-2016 10:23,C,22,661
06-06-2016 11:23,C,23,162
06-06-2016 12:23,C,23,662
06-06-2016 13:23,C,22,161
06-06-2016 14:23,C,22,161
06-06-2016 15:23,C,22,661
06-06-2016 16:23,C,23,162
06-06-2016 17:23,C,23,162
06-06-2016 18:23,C,23,662
06-06-2016 19:23,C,24,662
06-06-2016 20:23,C,24,662
06-06-2016 21:23,C,24,662
06-06-2016 22:23,C,24,662
06-06-2016 23:23,C,24,162
07-06-2016 0:23,C,24,162
07-06-2016 1:23,C,23,662
07-06-2016 2:23,C,23,162
07-06-2016 3:23,C,23,162
07-06-2016 4:23,C,22,661
07-06-2016 5:23,C,22,161
07-06-2016 6:23,C,21,661
07-06-2016 7:23,C,20,159
07-06-2016 8:23,C,20,66
07-06-2016 9:23,C,20,66
07-06-2016 10:23,C,20,66
07-06-2016 11:23,C,20,66
07-06-2016 12:23,C,20,66
07-06-2016 13:23,C,21,16
07-06-2016 14:23,C,21,661
07-06-2016 15:23,C,22,161
07-06-2016 16:23,C,22,661
07-06-2016 17:23,C,23,162
07-06-2016 18:23,C,23,662
07-06-2016 19:23,C,23,662
07-06-2016 20:23,C,23,662
07-06-2016 21:23,C,23,162
07-06-2016 22:23,C,23,162
07-06-2016 23:23,C,22,661
08-06-2016 0:23,C,22,161
08-06-2016 1:23,C,21,661
08-06-2016 2:23,C,20,66
08-06-2016 3:23,C,20,159
08-06-2016 4:23,C,19,658
08-06-2016 5:23,C,18,657
08-06-2016 6:23,C,18,156
08-06-2016 7:23,C,18,156
08-06-2016 8:23,C,18,156
08-06-2016 9:23,C,18,156
08-06-2016 10:23,C,18,657
08-06-2016 11:23,C,19,158
08-06-2016 12:23,C,19,158
08-06-2016 13:23,C,19,658
08-06-2016 14:23,C,20,159
08-06-2016 15:23,C,21,16
08-06-2016 16:23,C,21,16
08-06-2016 17:23,C,21,661
08-06-2016 18:23,C,22,161
08-06-2016 19:23,C,22,661
08-06-2016 20:23,C,22,661
08-06-2016 21:23,C,22,661
08-06-2016 22:23,C,22,661
08-06-2016 23:23,C,22,661
09-06-2016 0:23,C,22,161
09-06-2016 1:23,C,21,661
09-06-2016 2:23,C,21,661
09-06-2016 3:23,C,21,16
09-06-2016 4:23,C,20,66
09-06-2016 5:23,C,20,159
09-06-2016 6:23,C,19,658
09-06-2016 7:23,C,19,158
09-06-2016 8:23,C,19,158
09-06-2016 9:23,C,18,657
09-06-2016 10:23,C,18,657
09-06-2016 11:23,C,18,657
09-06-2016 12:23,C,18,657
09-06-2016 13:23,C,18,657
09-06-2016 14:23,C,19,158
09-06-2016 15:23,C,19,658
09-06-2016 16:23,C,20,66
09-06-2016 17:23,C,21,661
09-06-2016 18:23,C,22,161
09-06-2016 19:23,C,22,661
09-06-2016 20:23,C,22,661
09-06-2016 21:23,C,22,661
09-06-2016 22:23,C,22,661
09-06-2016 23:23,C,22,161
10-06-2016 0:23,C,21,16
10-06-2016 1:23,C,20,66
10-06-2016 2:23,C,19,658
10-06-2016 3:23,C,18,657
10-06-2016 4:23,C,18,156
10-06-2016 5:23,C,18,156
10-06-2016 6:23,C,17,655
10-06-2016 7:23,C,17,154
10-06-2016 8:23,C,17,154
10-06-2016 9:23,C,16,653
10-06-2016 10:23,C,16,653
10-06-2016 11:23,C,23,162
10-06-2016 12:23,C,28,66
10-06-2016 13:23,C,27,661
10-06-2016 14:23,C,23,162
10-06-2016 15:23,C,21,16
10-06-2016 16:23,C,22,161
10-06-2016 17:23,C,22,661
10-06-2016 18:23,C,22,661
10-06-2016 19:23,C,23,162
10-06-2016 20:23,C,24,162
10-06-2016 21:23,C,24,162
10-06-2016 22:23,C,24,162
10-06-2016 23:23,C,24,162
11-06-2016 0:23,C,23,662
11-06-2016 1:23,C,23,162
11-06-2016 2:23,C,22,161
11-06-2016 3:23,C,21,661
11-06-2016 4:23,C,20,66
11-06-2016 5:23,C,20,159
11-06-2016 6:23,C,19,158
11-06-2016 7:23,C,18,657
11-06-2016 8:23,C,18,156
11-06-2016 9:23,C,17,655
11-06-2016 10:23,C,17,655
11-06-2016 11:23,C,19,158
11-06-2016 12:23,C,19,158
11-06-2016 13:23,C,20,159
11-06-2016 14:23,C,21,661
11-06-2016 15:23,C,23,162
11-06-2016 16:23,C,24,662
11-06-2016 17:23,C,26,662
11-06-2016 18:23,C,26,662
11-06-2016 19:23,C,27,161
11-06-2016 20:23,C,27,161
11-06-2016 21:23,C,27,161
11-06-2016 22:23,C,27,161
11-06-2016 23:23,C,26,662
12-06-2016 0:23,C,26,162
12-06-2016 1:23,C,25,662
12-06-2016 2:23,C,24,662
12-06-2016 3:23,C,24,162
12-06-2016 4:23,C,23,162
12-06-2016 5:23,C,22,661
12-06-2016 6:23,C,21,661
12-06-2016 7:23,C,20,66
12-06-2016 8:23,C,20,159
12-06-2016 9:23,C,19,158
12-06-2016 10:23,C,19,658
12-06-2016 11:23,C,19,658
12-06-2016 12:23,C,21,16
12-06-2016 13:23,C,22,661
12-06-2016 14:23,C,23,662
12-06-2016 15:23,C,24,162
12-06-2016 16:23,C,26,162
12-06-2016 17:23,C,26,662
12-06-2016 18:23,C,26,662
12-06-2016 19:23,C,26,662
12-06-2016 20:23,C,28,66
12-06-2016 21:23,C,27,661
12-06-2016 22:23,C,26,662
12-06-2016 23:23,C,26,162
13-06-2016 0:23,C,25,162
13-06-2016 1:23,C,23,662
13-06-2016 2:23,C,22,661
13-06-2016 3:23,C,21,661
13-06-2016 4:23,C,20,66
13-06-2016 5:23,C,20,66
13-06-2016 6:23,C,20,66
13-06-2016 7:23,C,20,66
13-06-2016 8:23,C,17,154
13-06-2016 9:23,C,20,66
13-06-2016 10:23,C,46,593
13-06-2016 11:23,C,47,9
13-06-2016 12:23,C,53,45
13-06-2016 13:23,C,49,572
13-06-2016 14:23,C,49,76
13-06-2016 15:23,C,47,586
13-06-2016 16:23,C,45,102
13-06-2016 17:23,C,36,143
13-06-2016 18:23,C,23,662
13-06-2016 19:23,C,18,156
13-06-2016 20:23,C,12,139
13-06-2016 21:23,C,8,624
13-06-2016 22:23,C,5,609
13-06-2016 23:23,C,5,106
14-06-2016 0:23,C,2,591
14-06-2016 1:23,C,2,591
14-06-2016 2:23,C,2,88
14-06-2016 3:23,C,1,584
14-06-2016 4:23,C,1,81
14-06-2016 5:23,C,0,43
14-06-2016 6:23,C,1,584
14-06-2016 7:23,C,12,641
14-06-2016 8:23,C,23,662
14-06-2016 9:23,C,25,662
14-06-2016 10:23,C,34,648
14-06-2016 11:23,C,32,653
14-06-2016 12:23,C,36,642
14-06-2016 13:23,C,46,96
14-06-2016 14:23,C,43,113
14-06-2016 15:23,C,41,621
14-06-2016 16:23,C,38,634
14-06-2016 17:23,C,30,158
14-06-2016 18:23,C,22,661
14-06-2016 19:23,C,12,641
14-06-2016 20:23,C,9,127
14-06-2016 21:23,C,7,117
14-06-2016 22:23,C,3,94
14-06-2016 23:23,C,0,577
15-06-2016 0:23,C,0,933
15-06-2016 1:23,C,0,577
15-06-2016 2:23,C,-1,437
15-06-2016 3:23,C,-1,437
15-06-2016 4:23,C,0,933
15-06-2016 5:23,C,0,74
15-06-2016 6:23,C,1,584
15-06-2016 7:23,C,12,641
15-06-2016 8:23,C,16,653
15-06-2016 9:23,C,20,66
15-06-2016 10:23,C,21,16
15-06-2016 11:23,C,17,655
15-06-2016 12:23,C,20,66
15-06-2016 13:23,C,23,162
15-06-2016 14:23,C,26,162
15-06-2016 15:23,C,35,147
15-06-2016 16:23,C,23,662
15-06-2016 17:23,C,16,653
15-06-2016 18:23,C,18,156
15-06-2016 19:23,C,10,131
15-06-2016 20:23,C,3,94
15-06-2016 21:23,C,2,88
15-06-2016 22:23,C,1,584
15-06-2016 23:23,C,1,81
16-06-2016 0:23,C,1,584
16-06-2016 1:23,C,3,94
16-06-2016 2:23,C,3,597
16-06-2016 3:23,C,2,591
16-06-2016 4:23,C,0,577
16-06-2016 5:23,C,1,81
16-06-2016 6:23,C,3,94
16-06-2016 7:23,C,8,122
16-06-2016 8:23,C,19,658
16-06-2016 9:23,C,33,651
16-06-2016 10:23,C,23,162
16-06-2016 11:23,C,23,162
16-06-2016 12:23,C,21,661
16-06-2016 13:23,C,21,16
16-06-2016 14:23,C,19,158
