Date/Time,Unit,Value,a
08-06-2015 7:54,C,31,156
08-06-2015 8:54,C,25,16
08-06-2015 9:54,C,31,156
08-06-2015 10:54,C,32,155
08-06-2015 11:54,C,26,66
08-06-2015 12:54,C,34,65
08-06-2015 13:54,C,26,16
08-06-2015 14:54,C,25,16
08-06-2015 15:54,C,32,654
08-06-2015 16:54,C,34,151
08-06-2015 17:54,C,26,66
08-06-2015 18:54,C,27,66
08-06-2015 19:54,C,22,659
08-06-2015 20:54,C,16,65
08-06-2015 21:54,C,14,644
08-06-2015 22:54,C,13,641
08-06-2015 23:54,C,13,14
09-06-2015 0:54,C,12,638
09-06-2015 1:54,C,11,133
09-06-2015 2:54,C,10,631
09-06-2015 3:54,C,10,631
09-06-2015 4:54,C,10,129
09-06-2015 5:54,C,10,129
09-06-2015 6:54,C,11,635
09-06-2015 7:54,C,14,644
09-06-2015 8:54,C,20,156
09-06-2015 9:54,C,51,574
09-06-2015 10:54,C,61,99
09-06-2015 11:54,C,56,41
09-06-2015 12:54,C,36,146
09-06-2015 13:54,C,51,574
09-06-2015 14:54,C,46,107
09-06-2015 15:54,C,35,648
09-06-2015 16:54,C,26,66
09-06-2015 17:54,C,24,66
09-06-2015 18:54,C,21,658
09-06-2015 19:54,C,18,654
09-06-2015 20:54,C,16,148
09-06-2015 21:54,C,13,641
09-06-2015 22:54,C,12,638
09-06-2015 23:54,C,12,136
10-06-2015 0:54,C,11,635
10-06-2015 1:54,C,12,136
10-06-2015 2:54,C,12,136
10-06-2015 3:54,C,11,133
10-06-2015 4:54,C,11,133
10-06-2015 5:54,C,11,133
10-06-2015 6:54,C,12,638
10-06-2015 7:54,C,13,14
10-06-2015 8:54,C,12,638
10-06-2015 9:54,C,13,641
10-06-2015 10:54,C,15,146
10-06-2015 11:54,C,15,647
10-06-2015 12:54,C,21,157
10-06-2015 13:54,C,28,659
10-06-2015 14:54,C,22,659
10-06-2015 15:54,C,16,65
10-06-2015 16:54,C,19,655
10-06-2015 17:54,C,14,644
10-06-2015 18:54,C,14,644
10-06-2015 19:54,C,14,143
10-06-2015 20:54,C,13,14
10-06-2015 21:54,C,13,14
10-06-2015 22:54,C,11,133
10-06-2015 23:54,C,10,129
11-06-2015 0:54,C,9,627
11-06-2015 1:54,C,8,623
11-06-2015 2:54,C,8,12
11-06-2015 3:54,C,7,618
11-06-2015 4:54,C,6,613
11-06-2015 5:54,C,7,116
11-06-2015 6:54,C,8,12
11-06-2015 7:54,C,9,627
11-06-2015 8:54,C,12,136
11-06-2015 9:54,C,29,159
11-06-2015 10:54,C,46,604
11-06-2015 11:54,C,49,9
11-06-2015 12:54,C,30,657
11-06-2015 13:54,C,34,65
11-06-2015 14:54,C,37,143
11-06-2015 15:54,C,34,151
11-06-2015 16:54,C,35,149
11-06-2015 17:54,C,31,156
11-06-2015 18:54,C,28,159
11-06-2015 19:54,C,26,16
11-06-2015 20:54,C,25,16
11-06-2015 21:54,C,24,16
11-06-2015 22:54,C,23,159
11-06-2015 23:54,C,22,659
12-06-2015 0:54,C,21,658
12-06-2015 1:54,C,21,157
12-06-2015 2:54,C,20,156
12-06-2015 3:54,C,19,655
12-06-2015 4:54,C,19,155
12-06-2015 5:54,C,18,654
12-06-2015 6:54,C,18,654
