Reference,Study_common_taxon,Site_name,Sampling_effort,Longitude,Latitude,species,Measurement,Effort_corrected_measurement
Cameron et al. 2011,Hymenoptera,"Santor, 3 mi E, Black Hills NF_09",30,-103.5605,43.7072,Bombus affinis,0,0
Cameron et al. 2011,Hymenoptera,"Santor, 3 mi E, Black Hills NF_09",30,-103.5605,43.7072,Bombus bifarius,4,22.666666666666664
Cameron et al. 2011,Hymenoptera,"Santor, 3 mi E, Black Hills NF_09",30,-103.5605,43.7072,Bombus bimaculatus,0,0
Cameron et al. 2011,Hymenoptera,"Santor, 3 mi E, Black Hills NF_09",30,-103.5605,43.7072,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,"Santor, 3 mi E, Black Hills NF_09",30,-103.5605,43.7072,Bombus occidentalis,0,0
Cameron et al. 2011,Hymenoptera,"Santor, 3 mi E, Black Hills NF_09",30,-103.5605,43.7072,Bombus pensylvanicus,0,0
Cameron et al. 2011,Hymenoptera,"Santor, 3 mi E, Black Hills NF_09",30,-103.5605,43.7072,Bombus terricola,0,0
Cameron et al. 2011,Hymenoptera,"Santor, 3 mi E, Black Hills NF_09",30,-103.5605,43.7072,Bombus vosnesenskii,0,0
Cameron et al. 2011,Hymenoptera,1 mi. E of Norman (OK08.site02)_08,30,-97.36465,35.18917,Bombus affinis,0,0
Cameron et al. 2011,Hymenoptera,1 mi. E of Norman (OK08.site02)_08,30,-97.36465,35.18917,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,1 mi. E of Norman (OK08.site02)_08,30,-97.36465,35.18917,Bombus bimaculatus,0,0
Cameron et al. 2011,Hymenoptera,1 mi. E of Norman (OK08.site02)_08,30,-97.36465,35.18917,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,1 mi. E of Norman (OK08.site02)_08,30,-97.36465,35.18917,Bombus occidentalis,0,0
Cameron et al. 2011,Hymenoptera,1 mi. E of Norman (OK08.site02)_08,30,-97.36465,35.18917,Bombus pensylvanicus,16,90.66666666666666
Cameron et al. 2011,Hymenoptera,1 mi. E of Norman (OK08.site02)_08,30,-97.36465,35.18917,Bombus terricola,0,0
Cameron et al. 2011,Hymenoptera,1 mi. E of Norman (OK08.site02)_08,30,-97.36465,35.18917,Bombus vosnesenskii,0,0
Cameron et al. 2011,Hymenoptera,Brookfield (Route 11) (MO08.site06)_08,30,-93.08075,39.7526,Bombus affinis,0,0
Cameron et al. 2011,Hymenoptera,Brookfield (Route 11) (MO08.site06)_08,30,-93.08075,39.7526,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Brookfield (Route 11) (MO08.site06)_08,30,-93.08075,39.7526,Bombus bimaculatus,0,0
Cameron et al. 2011,Hymenoptera,Brookfield (Route 11) (MO08.site06)_08,30,-93.08075,39.7526,Bombus impatiens,8,45.33333333333333
Cameron et al. 2011,Hymenoptera,Brookfield (Route 11) (MO08.site06)_08,30,-93.08075,39.7526,Bombus occidentalis,0,0
Cameron et al. 2011,Hymenoptera,Brookfield (Route 11) (MO08.site06)_08,30,-93.08075,39.7526,Bombus pensylvanicus,0,0
Cameron et al. 2011,Hymenoptera,Brookfield (Route 11) (MO08.site06)_08,30,-93.08075,39.7526,Bombus terricola,0,0
Cameron et al. 2011,Hymenoptera,Brookfield (Route 11) (MO08.site06)_08,30,-93.08075,39.7526,Bombus vosnesenskii,0,0
Cameron et al. 2011,Hymenoptera,Hwy 15 near Iowa border (MO08.site09)_08,30,-92.16366,40.50023,Bombus affinis,0,0
Cameron et al. 2011,Hymenoptera,Hwy 15 near Iowa border (MO08.site09)_08,30,-92.16366,40.50023,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 15 near Iowa border (MO08.site09)_08,30,-92.16366,40.50023,Bombus bimaculatus,0,0
Cameron et al. 2011,Hymenoptera,Hwy 15 near Iowa border (MO08.site09)_08,30,-92.16366,40.50023,Bombus impatiens,6,34
Cameron et al. 2011,Hymenoptera,Hwy 15 near Iowa border (MO08.site09)_08,30,-92.16366,40.50023,Bombus occidentalis,0,0
Cameron et al. 2011,Hymenoptera,Hwy 15 near Iowa border (MO08.site09)_08,30,-92.16366,40.50023,Bombus pensylvanicus,6,34
Cameron et al. 2011,Hymenoptera,Hwy 15 near Iowa border (MO08.site09)_08,30,-92.16366,40.50023,Bombus terricola,0,0
Cameron et al. 2011,Hymenoptera,Hwy 15 near Iowa border (MO08.site09)_08,30,-92.16366,40.50023,Bombus vosnesenskii,0,0
Cameron et al. 2011,Hymenoptera,near Hewitville/Taylorville (patch 2) (IL08.site13B)_08,30,-89.3416,39.51112,Bombus affinis,0,0
Cameron et al. 2011,Hymenoptera,near Hewitville/Taylorville (patch 2) (IL08.site13B)_08,30,-89.3416,39.51112,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,near Hewitville/Taylorville (patch 2) (IL08.site13B)_08,30,-89.3416,39.51112,Bombus bimaculatus,0,0
Cameron et al. 2011,Hymenoptera,near Hewitville/Taylorville (patch 2) (IL08.site13B)_08,30,-89.3416,39.51112,Bombus impatiens,5,28.333333333333332
Cameron et al. 2011,Hymenoptera,near Hewitville/Taylorville (patch 2) (IL08.site13B)_08,30,-89.3416,39.51112,Bombus occidentalis,0,0
Cameron et al. 2011,Hymenoptera,near Hewitville/Taylorville (patch 2) (IL08.site13B)_08,30,-89.3416,39.51112,Bombus pensylvanicus,11,62.33333333333333
Cameron et al. 2011,Hymenoptera,near Hewitville/Taylorville (patch 2) (IL08.site13B)_08,30,-89.3416,39.51112,Bombus terricola,0,0
Cameron et al. 2011,Hymenoptera,near Hewitville/Taylorville (patch 2) (IL08.site13B)_08,30,-89.3416,39.51112,Bombus vosnesenskii,0,0
Cameron et al. 2011,Hymenoptera,near Hewitville/Taylorville (patch 1) (IL08.site13A)_08,30,-89.32839,39.52481,Bombus affinis,0,0
Cameron et al. 2011,Hymenoptera,near Hewitville/Taylorville (patch 1) (IL08.site13A)_08,30,-89.32839,39.52481,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,near Hewitville/Taylorville (patch 1) (IL08.site13A)_08,30,-89.32839,39.52481,Bombus bimaculatus,0,0
Cameron et al. 2011,Hymenoptera,near Hewitville/Taylorville (patch 1) (IL08.site13A)_08,30,-89.32839,39.52481,Bombus impatiens,12,68
Cameron et al. 2011,Hymenoptera,near Hewitville/Taylorville (patch 1) (IL08.site13A)_08,30,-89.32839,39.52481,Bombus occidentalis,0,0
Cameron et al. 2011,Hymenoptera,near Hewitville/Taylorville (patch 1) (IL08.site13A)_08,30,-89.32839,39.52481,Bombus pensylvanicus,6,34
