Reference,Study_common_taxon,Site_name,Sampling_effort,Longitude,Latitude,species,Measurement,Effort_corrected_measurement
Cameron et al. 2011,Hymenoptera,Maxwell Wildlife Refuge (nr. Observation tower) (KS08.site03)_08,60,-97.45812,38.47591,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Maxwell Wildlife Refuge (nr. Observation tower) (KS08.site03)_08,60,-97.45812,38.47591,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,1.5 mi west of Elgin (TX08.site02)_08,60,-97.45035,30.35093,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,1.5 mi west of Elgin (TX08.site02)_08,60,-97.45035,30.35093,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,Mead OK (OK09.site01)_09,60,-96.53535,33.9987,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Mead OK (OK09.site01)_09,60,-96.53535,33.9987,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,5 mi North of Williamstown (Hwy 59) (KS08.site01)_08,60,-95.50159,39.14434,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,5 mi North of Williamstown (Hwy 59) (KS08.site01)_08,60,-95.50159,39.14434,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,"Galveston Island, 1 mi NW of Toll Bridge near San Louis Pass (TX08.site03)_08",60,-95.104178,29.094994,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Galveston Island, 1 mi NW of Toll Bridge near San Louis Pass (TX08.site03)_08",60,-95.104178,29.094994,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,Hwy 14 and TWP173 (MN08.site04)_08,60,-94.2115,44.27375,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 14 and TWP173 (MN08.site04)_08,60,-94.2115,44.27375,Bombus impatiens,1,2.833333333333333
Cameron et al. 2011,Hymenoptera,near Devil's Den State Park (Hwy 74) (AR08.site02)_08,60,-94.15895,35.8207,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,near Devil's Den State Park (Hwy 74) (AR08.site02)_08,60,-94.15895,35.8207,Bombus impatiens,65,184.16666666666666
Cameron et al. 2011,Hymenoptera,Hwy 60 10 mi SW of Billings (MO09.site03)_09,60,-93.68428,36.96193,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 60 10 mi SW of Billings (MO09.site03)_09,60,-93.68428,36.96193,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,Barksdale AF Base 1mi NW of Lucky (LA09.site01)_09,60,-93.67943,32.52578,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Barksdale AF Base 1mi NW of Lucky (LA09.site01)_09,60,-93.67943,32.52578,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,"Hwy 60, 1 mi past Billings (MO08.site08)_08",60,-93.56777,37.05655,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Hwy 60, 1 mi past Billings (MO08.site08)_08",60,-93.56777,37.05655,Bombus impatiens,1,2.833333333333333
Cameron et al. 2011,Hymenoptera,Tucker Prairie (MO08.site05)_08,60,-91.98984,38.94897,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Tucker Prairie (MO08.site05)_08,60,-91.98984,38.94897,Bombus impatiens,1,2.833333333333333
Cameron et al. 2011,Hymenoptera,"Kawishiwi, nr Lake One (MN08.site07)_08",60,-91.461389,47.94125,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Kawishiwi, nr Lake One (MN08.site07)_08",60,-91.461389,47.94125,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,"Great River Bluff State Park, Scenic Overlook Hwy 61 (MN08.site06)_08",60,-91.4277,43.97524,Bombus bifarius,0,0
