Reference,Study_common_taxon,Site_name,Sampling_effort,Longitude,Latitude,species,Measurement,Effort_corrected_measurement
Cameron et al. 2011,Hymenoptera,Murphysboro (IL08.site01)_08,90,-89.41856,37.77345,Bombus impatiens,9,17
Cameron et al. 2011,Hymenoptera,Castle Rock SP (IL09.site04)_09,90,-89.357038,41.97828,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Castle Rock SP (IL09.site04)_09,90,-89.357038,41.97828,Bombus impatiens,4,7.555555555555555
Cameron et al. 2011,Hymenoptera,Hwy 48 near Hewittville/Taylorville (IL09.site03)_09,90,-89.3416,39.51112,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 48 near Hewittville/Taylorville (IL09.site03)_09,90,-89.3416,39.51112,Bombus impatiens,10,18.88888888888889
Cameron et al. 2011,Hymenoptera,Hwy 146 1.5 mi east of I57 (IL09.site07)_09,90,-89.11745,37.4471,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 146 1.5 mi east of I57 (IL09.site07)_09,90,-89.11745,37.4471,Bombus impatiens,46,86.88888888888889
Cameron et al. 2011,Hymenoptera,2mi west of Paducah (KY09. site02)_09,90,-88.762222,37.025278,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,2mi west of Paducah (KY09. site02)_09,90,-88.762222,37.025278,Bombus impatiens,16,30.22222222222222
Cameron et al. 2011,Hymenoptera,Allerton Park (Entrance Prairie) (IL09.site02B)_09,90,-88.64484,40.00772,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Allerton Park (Entrance Prairie) (IL09.site02B)_09,90,-88.64484,40.00772,Bombus impatiens,11,20.77777777777778
Cameron et al. 2011,Hymenoptera,Old Tibbee Rd nr. border of Lowndes and Oktibbeha Co (MS09.site03)_09,90,-88.64165,33.55438,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Old Tibbee Rd nr. border of Lowndes and Oktibbeha Co (MS09.site03)_09,90,-88.64165,33.55438,Bombus impatiens,63,119
Cameron et al. 2011,Hymenoptera,near Galton (IL08.site15)_08,90,-88.29737,39.76056,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,near Galton (IL08.site15)_08,90,-88.29737,39.76056,Bombus impatiens,4,7.555555555555555
Cameron et al. 2011,Hymenoptera,Roadside 1.5 mi N of Pesotum (IL09.site06)_09,90,-88.27055,39.93715,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Roadside 1.5 mi N of Pesotum (IL09.site06)_09,90,-88.27055,39.93715,Bombus impatiens,14,26.444444444444443
Cameron et al. 2011,Hymenoptera,"Bluff Spring Fen, Elgin (IL08.site11)_08",90,-88.25199,42.01375,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Bluff Spring Fen, Elgin (IL08.site11)_08",90,-88.25199,42.01375,Bombus impatiens,32,60.44444444444444
Cameron et al. 2011,Hymenoptera,"Dauphin Isl, Hwy 193 just at entrance to island (AL09.site01)_09",90,-88.11223,30.25479,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Dauphin Isl, Hwy 193 just at entrance to island (AL09.site01)_09",90,-88.11223,30.25479,Bombus impatiens,20,37.77777777777778
Cameron et al. 2011,Hymenoptera,Hwy 70 near Blackburn Rd (TN09.site02)_09,90,-88.06058,36.01198,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 70 near Blackburn Rd (TN09.site02)_09,90,-88.06058,36.01198,Bombus impatiens,58,109.55555555555556
Cameron et al. 2011,Hymenoptera,Hwy68 (KY09. site03)_09,90,-87.86253,36.83592,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy68 (KY09. site03)_09,90,-87.86253,36.83592,Bombus impatiens,14,26.444444444444443
Cameron et al. 2011,Hymenoptera,Alamo (Hwy 234) (IN09.site02)_09,90,-87.06641,39.95995,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Alamo (Hwy 234) (IN09.site02)_09,90,-87.06641,39.95995,Bombus impatiens,61,115.22222222222221
Cameron et al. 2011,Hymenoptera,"Forested roadside on hwy234, Shades SP (IN09.site06)_09",90,-87.05757,39.94875,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Forested roadside on hwy234, Shades SP (IN09.site06)_09",90,-87.05757,39.94875,Bombus impatiens,71,134.11111111111111
Cameron et al. 2011,Hymenoptera,County Rd 85 2.5 mi SW of Hwy 41 (AL09.site03)_09,90,-86.97015,32.21282,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,County Rd 85 2.5 mi SW of Hwy 41 (AL09.site03)_09,90,-86.97015,32.21282,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,"4 mi NW Star City, Hwy 35 nr 225 (IN09.site03)_09",90,-86.85357,41.02274,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"4 mi NW Star City, Hwy 35 nr 225 (IN09.site03)_09",90,-86.85357,41.02274,Bombus impatiens,11,20.77777777777778
Cameron et al. 2011,Hymenoptera,S of Nashville (TN09.site03)_09,90,-86.84485,35.91622,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,S of Nashville (TN09.site03)_09,90,-86.84485,35.91622,Bombus impatiens,11,20.77777777777778
Cameron et al. 2011,Hymenoptera,Hoosier NF west of Patoka Lake (IN09.site04)_09,90,-86.73048,38.40926,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hoosier NF west of Patoka Lake (IN09.site04)_09,90,-86.73048,38.40926,Bombus impatiens,56,105.77777777777777
Cameron et al. 2011,Hymenoptera,"Comfort Inn, Greenville, Fort Dale Rd (AL09.site02)_09",90,-86.64129,31.85426,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Comfort Inn, Greenville, Fort Dale Rd (AL09.site02)_09",90,-86.64129,31.85426,Bombus impatiens,14,26.444444444444443
Cameron et al. 2011,Hymenoptera,nr Nebraska (IN09.site01)_09,90,-85.43764,39.06533,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,nr Nebraska (IN09.site01)_09,90,-85.43764,39.06533,Bombus impatiens,93,175.66666666666666
Cameron et al. 2011,Hymenoptera,"Abandoned School, Holton (IN09.site05)_09",90,-85.3885,39.0728,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Abandoned School, Holton (IN09.site05)_09",90,-85.3885,39.0728,Bombus impatiens,47,88.77777777777777
Cameron et al. 2011,Hymenoptera,Hwy136 near Villanow (GA09.site01)_09,90,-85.12742,34.67863,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy136 near Villanow (GA09.site01)_09,90,-85.12742,34.67863,Bombus impatiens,8,15.11111111111111
Cameron et al. 2011,Hymenoptera,Hwy 60 just west of Frankfort (KY09. site06)_09,90,-84.94415,38.16413,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 60 just west of Frankfort (KY09. site06)_09,90,-84.94415,38.16413,Bombus impatiens,8,15.11111111111111
Cameron et al. 2011,Hymenoptera,old Hwy 411 near Ramhurst (GA09.site02)_09,90,-84.71028,34.66514,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,old Hwy 411 near Ramhurst (GA09.site02)_09,90,-84.71028,34.66514,Bombus impatiens,5,9.444444444444445
Cameron et al. 2011,Hymenoptera,3mi S of Coker Creek (TN09.site06)_09,90,-84.31819,35.24102,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,3mi S of Coker Creek (TN09.site06)_09,90,-84.31819,35.24102,Bombus impatiens,14,26.444444444444443
Cameron et al. 2011,Hymenoptera,Hwy 190 (OH09.site01)_09,90,-84.31576,40.89222,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 190 (OH09.site01)_09,90,-84.31576,40.89222,Bombus impatiens,12,22.666666666666668
Cameron et al. 2011,Hymenoptera,Newt Green Rd near Edwards Mill Road (GA09.site03)_09,90,-84.27237,34.26571,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Newt Green Rd near Edwards Mill Road (GA09.site03)_09,90,-84.27237,34.26571,Bombus impatiens,29,54.77777777777778
Cameron et al. 2011,Hymenoptera,"Smokey Mtn NP, Abrams Creek camp (TN09.site05)_09",90,-83.93521,35.60898,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Smokey Mtn NP, Abrams Creek camp (TN09.site05)_09",90,-83.93521,35.60898,Bombus impatiens,11,20.77777777777778
Cameron et al. 2011,Hymenoptera,"Near Athens, off Luke Rd+Fowler Mill Rd (GA09.site04)_09",90,-83.53266,33.96253,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Near Athens, off Luke Rd+Fowler Mill Rd (GA09.site04)_09",90,-83.53266,33.96253,Bombus impatiens,6,11.333333333333334
Cameron et al. 2011,Hymenoptera,"105 South, Junction of 590 (OH09.site02)_09",90,-83.21989,41.49377,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"105 South, Junction of 590 (OH09.site02)_09",90,-83.21989,41.49377,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,10mi W KY/VA border nr Cranks (KY09. site04)_09,90,-83.1837,36.76313,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,10mi W KY/VA border nr Cranks (KY09. site04)_09,90,-83.1837,36.76313,Bombus impatiens,43,81.22222222222221
Cameron et al. 2011,Hymenoptera,Cherokee NF (TN09.site04)_09,90,-82.97717,35.92276,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Cherokee NF (TN09.site04)_09,90,-82.97717,35.92276,Bombus impatiens,5,9.444444444444445
Cameron et al. 2011,Hymenoptera,Hwy 65 just N or intersection with US23 (VA09.site05)_09,90,-82.74692,36.67487,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 65 just N or intersection with US23 (VA09.site05)_09,90,-82.74692,36.67487,Bombus impatiens,9,17
Cameron et al. 2011,Hymenoptera,"nr Buffalo, Sumter Nat Forest (SC09.site01)_09",90,-82.36272,33.94193,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"nr Buffalo, Sumter Nat Forest (SC09.site01)_09",90,-82.36272,33.94193,Bombus impatiens,51,96.33333333333333
Cameron et al. 2011,Hymenoptera,Mt Mitchell (NC09.site06)_09,90,-82.2776,35.74497,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Mt Mitchell (NC09.site06)_09,90,-82.2776,35.74497,Bombus impatiens,35,66.11111111111111
Cameron et al. 2011,Hymenoptera,5mi North of Wooster (OH09.site03)_09,90,-81.97922,40.90823,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,5mi North of Wooster (OH09.site03)_09,90,-81.97922,40.90823,Bombus impatiens,41,77.44444444444444
Cameron et al. 2011,Hymenoptera,US221 north of Marion (NC09.site05)_09,90,-81.93666,35.89348,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,US221 north of Marion (NC09.site05)_09,90,-81.93666,35.89348,Bombus impatiens,5,9.444444444444445
Cameron et al. 2011,Hymenoptera,Hwy 181 nr Cold Springs (NC09.site04)_09,90,-81.86559,35.95826,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 181 nr Cold Springs (NC09.site04)_09,90,-81.86559,35.95826,Bombus impatiens,26,49.11111111111111
Cameron et al. 2011,Hymenoptera,Sumter NF (SC09.site02)_09,90,-81.75544,34.44358,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Sumter NF (SC09.site02)_09,90,-81.75544,34.44358,Bombus impatiens,20,37.77777777777778
Cameron et al. 2011,Hymenoptera,Just east of Tacoma (OH09.site04)_09,90,-81.14311,40.00154,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Just east of Tacoma (OH09.site04)_09,90,-81.14311,40.00154,Bombus impatiens,14,26.444444444444443
Cameron et al. 2011,Hymenoptera,nr Big Reed Island Creek (VA09.site02)_09,90,-80.58092,36.72294,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,nr Big Reed Island Creek (VA09.site02)_09,90,-80.58092,36.72294,Bombus impatiens,53,100.11111111111111
Cameron et al. 2011,Hymenoptera,N of Boykin (SC09.site03)_09,90,-80.574271,34.15635,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,N of Boykin (SC09.site03)_09,90,-80.574271,34.15635,Bombus impatiens,1,1.8888888888888888
Cameron et al. 2011,Hymenoptera,Hwy 66. 10 mi E of Mt Airy (NC09.site02)_09,90,-80.3947,36.47038,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 66. 10 mi E of Mt Airy (NC09.site02)_09,90,-80.3947,36.47038,Bombus impatiens,9,17
Cameron et al. 2011,Hymenoptera,Chesterfield (SC09.site04)_09,90,-80.09062,34.72643,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Chesterfield (SC09.site04)_09,90,-80.09062,34.72643,Bombus impatiens,45,85
Cameron et al. 2011,Hymenoptera,Hwy 109 just N of Wadesboro (NC09.site01)_09,90,-80.025,35.043611,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 109 just N of Wadesboro (NC09.site01)_09,90,-80.025,35.043611,Bombus impatiens,37,69.88888888888889
Cameron et al. 2011,Hymenoptera,George Wash NF nr Buchanan (VA09.site03)_09,90,-79.70235,37.51511,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,George Wash NF nr Buchanan (VA09.site03)_09,90,-79.70235,37.51511,Bombus impatiens,65,122.77777777777777
Cameron et al. 2011,Hymenoptera,"Hwy 62, near Alamance (NC09.site03)_09",90,-79.55724,35.9806,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Hwy 62, near Alamance (NC09.site03)_09",90,-79.55724,35.9806,Bombus impatiens,8,15.11111111111111
Cameron et al. 2011,Hymenoptera,Rt 104 ~15 mi E of Niagara Falls (NY09.site01)_09,90,-78.82959,43.2022,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Rt 104 ~15 mi E of Niagara Falls (NY09.site01)_09,90,-78.82959,43.2022,Bombus impatiens,22,41.55555555555556
Cameron et al. 2011,Hymenoptera,Hwy 47 near jcn Hwy 460 (VA09.site04)_09,90,-78.68094,37.25568,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 47 near jcn Hwy 460 (VA09.site04)_09,90,-78.68094,37.25568,Bombus impatiens,73,137.88888888888889
Cameron et al. 2011,Hymenoptera,"Susquehannock Forest, Rt872 (PA09.site01)_09",90,-78.02639,41.40279,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Susquehannock Forest, Rt872 (PA09.site01)_09",90,-78.02639,41.40279,Bombus impatiens,38,71.77777777777777
Cameron et al. 2011,Hymenoptera,Hwy 45 SW of State College (PA09.site03)_09,90,-77.83848,40.76025,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 45 SW of State College (PA09.site03)_09,90,-77.83848,40.76025,Bombus impatiens,61,115.22222222222221
Cameron et al. 2011,Hymenoptera,"Rt 96A, off of Seneca Lake (NY09.site02)_09",90,-76.851070000000007,42.68171,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Rt 96A, off of Seneca Lake (NY09.site02)_09",90,-76.851070000000007,42.68171,Bombus impatiens,24,45.333333333333336
Cameron et al. 2011,Hymenoptera,Wyoming St. Forest (PA09.site02)_09,90,-76.83675,41.37778,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Wyoming St. Forest (PA09.site02)_09,90,-76.83675,41.37778,Bombus impatiens,19,35.888888888888886
Cameron et al. 2011,Hymenoptera,28North ~6 mi N of North Creek (NY09.site03)_09,90,-73.96591,43.777,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,28North ~6 mi N of North Creek (NY09.site03)_09,90,-73.96591,43.777,Bombus impatiens,1,1.8888888888888888
Cameron et al. 2011,Hymenoptera,Hwy 9 (NY09.site06)_09,90,-73.9116,41.60235,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 9 (NY09.site06)_09,90,-73.9116,41.60235,Bombus impatiens,51,96.33333333333333
Cameron et al. 2011,Hymenoptera,Rt 7 on CT/MA border (MA09.site03)_09,90,-73.32829,42.06543,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Rt 7 on CT/MA border (MA09.site03)_09,90,-73.32829,42.06543,Bombus impatiens,7,13.222222222222221
Cameron et al. 2011,Hymenoptera,SUNY Stony Brook (Long Island) (NY09.site05)_09,90,-73.12382,40.923923,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,SUNY Stony Brook (Long Island) (NY09.site05)_09,90,-73.12382,40.923923,Bombus impatiens,48,90.66666666666667
Cameron et al. 2011,Hymenoptera,Farmington River trail NW of Unionville (CT09.site01)_09,90,-72.89947,41.76643,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Farmington River trail NW of Unionville (CT09.site01)_09,90,-72.89947,41.76643,Bombus impatiens,100,188.88888888888889
Cameron et al. 2011,Hymenoptera,Deerfield Valley Elementary School (VT09.site02)_09,90,-72.8616,42.88843,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Deerfield Valley Elementary School (VT09.site02)_09,90,-72.8616,42.88843,Bombus impatiens,2,3.7777777777777777
Cameron et al. 2011,Hymenoptera,25A just west of Wading River (Long Island) (NY09.site04)_09,90,-72.83605,40.94435,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,25A just west of Wading River (Long Island) (NY09.site04)_09,90,-72.83605,40.94435,Bombus impatiens,56,105.77777777777777
Cameron et al. 2011,Hymenoptera,East Hampton (MA09.site04)_09,90,-72.7183,42.24344,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,East Hampton (MA09.site04)_09,90,-72.7183,42.24344,Bombus impatiens,49,92.55555555555556
Cameron et al. 2011,Hymenoptera,0.5 Mi SW of Ludlow (VT09.site01)_09,90,-72.70551,43.41441,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,0.5 Mi SW of Ludlow (VT09.site01)_09,90,-72.70551,43.41441,Bombus impatiens,5,9.444444444444445
Cameron et al. 2011,Hymenoptera,Hwy 83 0.5 mi W of Rockville (CT09.site02)_09,90,-72.48312,41.86087,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 83 0.5 mi W of Rockville (CT09.site02)_09,90,-72.48312,41.86087,Bombus impatiens,46,86.88888888888889
Cameron et al. 2011,Hymenoptera,Ashby Fire Dept (MA09.site01)_09,90,-71.82805,42.679747,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Ashby Fire Dept (MA09.site01)_09,90,-71.82805,42.679747,Bombus impatiens,13,24.555555555555554
Cameron et al. 2011,Hymenoptera,"Pond Road, Wellesley (MA09.site02)_09",90,-71.31905,42.29117,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Pond Road, Wellesley (MA09.site02)_09",90,-71.31905,42.29117,Bombus impatiens,29,54.77777777777778
Cameron et al. 2011,Hymenoptera,Illinois Beach State Park (IL08.site04)_08,100,-87.80558,42.4253,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Illinois Beach State Park (IL08.site04)_08,100,-87.80558,42.4253,Bombus impatiens,6,10.2
Cameron et al. 2011,Hymenoptera,Sigourney (Hwy 92) (IA08.site01)_08,110,-92.33661,41.33614,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Sigourney (Hwy 92) (IA08.site01)_08,110,-92.33661,41.33614,Bombus impatiens,2,3.090909090909091
Cameron et al. 2011,Hymenoptera,nr Pierre (SD08.site03)_08,120,-100.33306,44.29068,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,nr Pierre (SD08.site03)_08,120,-100.33306,44.29068,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,Off of Hwy 200 near Glenfield (ND08.site04)_08,120,-98.64908,47.45722,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Off of Hwy 200 near Glenfield (ND08.site04)_08,120,-98.64908,47.45722,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,nr DeSmet (SD08.site04)_08,120,-97.5246,44.37173,Bombus bifarius,1,1.4166666666666665
Cameron et al. 2011,Hymenoptera,nr DeSmet (SD08.site04)_08,120,-97.5246,44.37173,Bombus impatiens,1,1.4166666666666665
Cameron et al. 2011,Hymenoptera,Hwy 19 nr 289th St (SD08.site05)_08,120,-97.08081,43.19209,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 19 nr 289th St (SD08.site05)_08,120,-97.08081,43.19209,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,Hwy 59 on border of Lyon and Murray Counties (MN08.site03)_08,120,-95.75491,44.19908,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 59 on border of Lyon and Murray Counties (MN08.site03)_08,120,-95.75491,44.19908,Bombus impatiens,1,1.4166666666666665
Cameron et al. 2011,Hymenoptera,Sakatah SP (MN08.site05)_08,120,-93.2283,44.21959,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Sakatah SP (MN08.site05)_08,120,-93.2283,44.21959,Bombus impatiens,12,17
Cameron et al. 2011,Hymenoptera,Atlanta (MO08.site07)_08,120,-92.47369,39.89866,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Atlanta (MO08.site07)_08,120,-92.47369,39.89866,Bombus impatiens,14,19.833333333333332
Cameron et al. 2011,Hymenoptera,Shaw Nature Preserve (MO09.site01)_09,120,-90.81744,38.46823,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Shaw Nature Preserve (MO09.site01)_09,120,-90.81744,38.46823,Bombus impatiens,1,1.4166666666666665
Cameron et al. 2011,Hymenoptera,Bluff Spring Fen (IL09.site05)_09,120,-88.25199,42.01375,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Bluff Spring Fen (IL09.site05)_09,120,-88.25199,42.01375,Bombus impatiens,26,36.83333333333333
Cameron et al. 2011,Hymenoptera,"Bluff Spring Fen, Elgin (IL08.site11B)_08",120,-88.25199,42.01375,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Bluff Spring Fen, Elgin (IL08.site11B)_08",120,-88.25199,42.01375,Bombus impatiens,106,150.16666666666666
Cameron et al. 2011,Hymenoptera,Alamo (Hwy 234) (IN08.site01)_08,120,-87.0686,39.9602,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Alamo (Hwy 234) (IN08.site01)_08,120,-87.0686,39.9602,Bombus impatiens,15,21.25
Cameron et al. 2011,Hymenoptera,Newton-Stewart S.R.A. (IN08.site02)_08,120,-86.6613,38.404,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Newton-Stewart S.R.A. (IN08.site02)_08,120,-86.6613,38.404,Bombus impatiens,28,39.666666666666664
Cameron et al. 2011,Hymenoptera,Highway 145N (IN08.site03)_08,120,-86.6028,38.4575,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Highway 145N (IN08.site03)_08,120,-86.6028,38.4575,Bombus impatiens,20,28.333333333333332
Cameron et al. 2011,Hymenoptera,Winamac (US35) (IN08.site05)_08,120,-86.58348,41.02308,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Winamac (US35) (IN08.site05)_08,120,-86.58348,41.02308,Bombus impatiens,40,56.666666666666664
Cameron et al. 2011,Hymenoptera,Nebraska (US50) (IN08.site04)_08,120,-85.43764,39.06533,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Nebraska (US50) (IN08.site04)_08,120,-85.43764,39.06533,Bombus impatiens,38,53.83333333333333
Cameron et al. 2011,Hymenoptera,Shaw Nature Reserve 2 (MO08.site02B)_08,135,-90.81139,38.47112,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Shaw Nature Reserve 2 (MO08.site02B)_08,135,-90.81139,38.47112,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,Branched Oak Lake RA (NE08.site01)_08,160,-96.86378,40.95999,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Branched Oak Lake RA (NE08.site01)_08,160,-96.86378,40.95999,Bombus impatiens,6,6.375
Cameron et al. 2011,Hymenoptera,Plattsmouth (NE08.site02)_08,170,-95.87263,40.99976,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Plattsmouth (NE08.site02)_08,170,-95.87263,40.99976,Bombus impatiens,4,4
Cameron et al. 2011,Hymenoptera,0.35 km ESE of Wyeth_08,30,-121.76563,45.69103,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,0.35 km ESE of Wyeth_08,30,-121.76563,45.69103,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,0.98 km SSW Grand Targhee Resort_08,30,-110.963,43.7801,Bombus bifarius,65,260
Cameron et al. 2011,Hymenoptera,0.98 km SSW Grand Targhee Resort_08,30,-110.963,43.7801,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,1.15 km WNW Mt. Ashland_09,30,-122.73063,42.08349,Bombus bifarius,11,44
Cameron et al. 2011,Hymenoptera,1.15 km WNW Mt. Ashland_09,30,-122.73063,42.08349,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,1.15 km WNW Mt. Ashland_08,30,-122.73063,42.08349,Bombus bifarius,35,140
Cameron et al. 2011,Hymenoptera,1.15 km WNW Mt. Ashland_08,30,-122.73063,42.08349,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,1.15 km WNW Mt. Ashland_07,60,-122.73063,42.08349,Bombus bifarius,19,38
Cameron et al. 2011,Hymenoptera,1.15 km WNW Mt. Ashland_07,60,-122.73063,42.08349,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,1.20 km NNE Mount Crested Butte_08,30,-106.9599,38.9186,Bombus bifarius,34,136
Cameron et al. 2011,Hymenoptera,1.20 km NNE Mount Crested Butte_08,30,-106.9599,38.9186,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,1.20 km NNE Mount Crested Butte_09,30,-106.9599,38.9186,Bombus bifarius,32,128
Cameron et al. 2011,Hymenoptera,1.20 km NNE Mount Crested Butte_09,30,-106.9599,38.9186,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,1.52 km SSW Sierraville_07,35,-120.36991,39.57604,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,1.52 km SSW Sierraville_07,35,-120.36991,39.57604,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,10.16 km SSW of Mt. Shasta_07,85,-122.26211,41.32741,Bombus bifarius,1,1.4117647058823528
Cameron et al. 2011,Hymenoptera,10.16 km SSW of Mt. Shasta_07,85,-122.26211,41.32741,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,10.26 km SW of Mt. Shasta_07,20,-122.26733,41.32861,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,10.26 km SW of Mt. Shasta_07,20,-122.26733,41.32861,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,10.43 km SSW of Bunker Hill_08,30,-124.26156,43.27169,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,10.43 km SSW of Bunker Hill_08,30,-124.26156,43.27169,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,11.54 km WSW Sisters_08,30,-121.69052,44.25608,Bombus bifarius,5,20
Cameron et al. 2011,Hymenoptera,11.54 km WSW Sisters_08,30,-121.69052,44.25608,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,12.39 km WSW of Mutts Meadow_08,15,-107.5948,44.7603,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,12.39 km WSW of Mutts Meadow_08,15,-107.5948,44.7603,Bombus impatiens,0,0
